File Name,Exposure Time,File Path,Step,Gas Type
test_03_04_1253_Ar_60sec_0015.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0015_HV250mA_HV8300V_MCP2850V/test_03_04_1253_Ar_60sec_0015.fits,1253,Ar
test_03_04_1223_Ar_60sec_0015.fits,60.032,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0015_HV250mA_HV8300V_MCP2850V/test_03_04_1223_Ar_60sec_0015.fits,1223,Ar
test_03_04_1203_Ar_60sec_0015.fits,60.031,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0015_HV250mA_HV8300V_MCP2850V/test_03_04_1203_Ar_60sec_0015.fits,1203,Ar
test_03_04_1253_Ar_60sec_0011.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0011_HV250mA_HV8300V_MCP2850V/test_03_04_1253_Ar_60sec_0011.fits,1253,Ar
test_03_04_1273_Ar_60sec_0011.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0011_HV250mA_HV8300V_MCP2850V/test_03_04_1273_Ar_60sec_0011.fits,1273,Ar
test_03_04_1203_Ar_60sec_0011.fits,60.062,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0011_HV250mA_HV8300V_MCP2850V/test_03_04_1203_Ar_60sec_0011.fits,1203,Ar
test_03_04_1223_Ar_60sec_0011.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0011_HV250mA_HV8300V_MCP2850V/test_03_04_1223_Ar_60sec_0011.fits,1223,Ar
test_03_04_1223_Ar_60sec_0010.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0010_HV250mA_HV8300V_MCP2850V/test_03_04_1223_Ar_60sec_0010.fits,1223,Ar
test_03_04_1203_Ar_60sec_0010.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0010_HV250mA_HV8300V_MCP2850V/test_03_04_1203_Ar_60sec_0010.fits,1203,Ar
test_03_04_1273_Ar_60sec_0010.fits,60.016,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0010_HV250mA_HV8300V_MCP2850V/test_03_04_1273_Ar_60sec_0010.fits,1273,Ar
test_03_04_1253_Ar_60sec_0010.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0010_HV250mA_HV8300V_MCP2850V/test_03_04_1253_Ar_60sec_0010.fits,1253,Ar
test_03_04_1203_Ar_60sec_0014.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0014_HV250mA_HV8300V_MCP2850V/test_03_04_1203_Ar_60sec_0014.fits,1203,Ar
test_03_04_1223_Ar_60sec_0014.fits,60.046,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0014_HV250mA_HV8300V_MCP2850V/test_03_04_1223_Ar_60sec_0014.fits,1223,Ar
test_03_04_1253_Ar_60sec_0014.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0014_HV250mA_HV8300V_MCP2850V/test_03_04_1253_Ar_60sec_0014.fits,1253,Ar
test_03_04_1273_Ar_60sec_0014.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0014_HV250mA_HV8300V_MCP2850V/test_03_04_1273_Ar_60sec_0014.fits,1273,Ar
test_02_27_1150_Ar_30sec.fits,30.125,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-27-2024/test_02_27_1150_Ar_30sec.fits,1150,Ar
test_02_27_1000_Ar_30sec.fits,30.187,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-27-2024/test_02_27_1000_Ar_30sec.fits,1000,Ar
test_02_27_1190_Ar_30sec.fits,30.125,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-27-2024/test_02_27_1190_Ar_30sec.fits,1190,Ar
test_02_27_1050_Ar_30sec.fits,30.063,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-27-2024/test_02_27_1050_Ar_30sec.fits,1050,Ar
test_02_27_1100_Ar_30sec.fits,30.187,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-27-2024/test_02_27_1100_Ar_30sec.fits,1100,Ar
test_02_27_1223_Ar_30sec.fits,30.094,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-27-2024/test_02_27_1223_Ar_30sec.fits,1223,Ar
test_02_27_1253_Ar_30sec.fits,30.047,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-27-2024/test_02_27_1253_Ar_30sec.fits,1253,Ar
test_02_27_1175_Ar_30sec.fits,30.062,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-27-2024/test_02_27_1175_Ar_30sec.fits,1175,Ar
test_02_27_1200_Ar_30sec.fits,30.109,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-27-2024/test_02_27_1200_Ar_30sec.fits,1200,Ar
test_02_27_1283_Ar_30sec.fits,30.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-27-2024/test_02_27_1283_Ar_30sec.fits,1283,Ar
test_02_27_1125_Ar_30sec.fits,30.078,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-27-2024/test_02_27_1125_Ar_30sec.fits,1125,Ar
test_12_19_1253.fits,30.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/EUV_test/test_12_19_1253.fits,1253,
test_12_19_1223_He_30sec.fits,30.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/EUV_test/test_12_19_1223_He_30sec.fits,1223,He
test_12_19_1253_He_30sec.fits,30.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/EUV_test/test_12_19_1253_He_30sec.fits,1253,He
test_12_19_1223_quest.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/EUV_test/test_12_19_1223_quest.fits,1223,
test_03_04_1273_Ar_60sec.fits,60.016,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_second/test_03_04_1273_Ar_60sec.fits,1273,Ar
test_03_04_1263_Ar_60sec.fits,60.031,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_second/test_03_04_1263_Ar_60sec.fits,1263,Ar
test_03_04_1243_Ar_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_second/test_03_04_1243_Ar_60sec.fits,1243,Ar
test_03_04_1253_Ar_60sec.fits,60.047,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_second/test_03_04_1253_Ar_60sec.fits,1253,Ar
test_03_04_1193_Ar_60sec.fits,60.063,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_first/test_03_04_1193_Ar_60sec.fits,1193,Ar
