line_center,line_type,line_center_index
1048.2226690176058,emission,3367
1066.6631542935343,emission,3742
1134.2135635148297,emission,5129
1175.1708518645232,emission,5968
1197.5420721597943,emission,6429
1214.7208400221066,emission,6778
1227.3865417510997,emission,7039
1241.2654333008772,emission,7325
1254.4164109581843,emission,7591
1270.1393510355545,emission,7915
1274.1186136477286,emission,7997
1493.5603884312768,emission,12494
